Time_point,Block,Plot,Block_Plot,Herb_TRT,Nutrient_Trt,Disturbance_Trt,Acropora_spp,Caulerpa_spp,Cyanobacteria,Encrusting_Lobophora,Foliose_Lobophora,Fungiid,Halimeda_spp,Montipora_spp,Pavona,Phymastraea,Pocillopora_spp,Porites_spp,Rubble,Sponge,Turf_Bare_Encrusting_Algae,Unknown_encrusting_coral,Acanthastrea_spp,CCA,Dead_Halimeda,Peyss_sp,Sand,Soft,Galaxaura_spp,Long_turf,Red_articulated_calcified_algae,Turbinaria,Valonia_spp,Invert,Asparagopsis,Sargassum,Padina,Spatoglossum_spp,Dictyota_spp,Unknown_macroalgae,Chlorodesmis_spp,Lobophyla,Macroalgae,Coral
12,A,1,A1,1X1,Ambient,Intact,1.0204081632653061,0.5102040816326531,0.5102040816326531,2.5510204081632653,30.612244897959183,1.0204081632653061,4.591836734693878,7.142857142857142,2.5510204081632653,0.5102040816326531,19.387755102040817,1.0204081632653061,1.0204081632653061,0.5102040816326531,26.02040816326531,1.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.612244897959183,33.673469387755105
12,A,1,A1,2X2,Ambient,Intact,0.5524861878453038,0,0.5524861878453038,6.077348066298343,31.491712707182316,3.867403314917127,6.629834254143646,1.6574585635359116,1.6574585635359116,3.314917127071823,10.497237569060774,0,1.1049723756906076,0,27.071823204419886,2.7624309392265194,0.5524861878453038,1.1049723756906076,0.5524861878453038,0.5524861878453038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.491712707182316,24.861878453038674
12,A,1,A1,3X3,Ambient,Intact,2.9702970297029703,0.49504950495049505,0,5.9405940594059405,25.247524752475247,0.49504950495049505,17.326732673267326,0,0,2.9702970297029703,15.841584158415841,0,0,0,24.752475247524753,0.49504950495049505,0,0,2.4752475247524752,0,0.9900990099009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.247524752475247,22.77227722772277
12,A,1,A1,Open,Ambient,Intact,0,0,0,33.33333333333333,19.774011299435028,0,2.2598870056497176,1.1299435028248588,0.5649717514124294,0.5649717514124294,5.649717514124294,1.694915254237288,5.084745762711865,0,23.163841807909606,1.1299435028248588,0,0,0.5649717514124294,0,4.519774011299435,0.5649717514124294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.774011299435028,10.73446327683616
12,A,2,A2,1X1,Enriched,Intact,0.5050505050505051,0,1.0101010101010102,6.0606060606060606,12.121212121212121,0,6.0606060606060606,3.0303030303030303,0.5050505050505051,0,35.858585858585855,0,2.0202020202020203,0,16.666666666666664,3.0303030303030303,0,0,0,2.525252525252525,0,0.5050505050505051,0.5050505050505051,6.565656565656567,1.0101010101010102,2.0202020202020203,0,0,0,0,0,0,0,0,0,0,15.656565656565657,42.92929292929293
12,A,2,A2,2X2,Enriched,Intact,1.092896174863388,0,1.092896174863388,4.371584699453552,22.404371584699454,0.546448087431694,4.918032786885246,0,1.092896174863388,1.092896174863388,29.508196721311474,0.546448087431694,0.546448087431694,0.546448087431694,21.85792349726776,1.092896174863388,0,0,0.546448087431694,3.825136612021858,0,0,0,4.371584699453552,0,0,0.546448087431694,0,0,0,0,0,0,0,0,0,22.404371584699454,34.97267759562841
12,A,2,A2,3X3,Enriched,Intact,6.593406593406594,0,0,7.142857142857142,21.428571428571427,0,10.43956043956044,3.296703296703297,0,0,20.32967032967033,0,0,0,27.472527472527474,0,0,0.5494505494505495,2.197802197802198,0.5494505494505495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.428571428571427,30.21978021978022
12,A,2,A2,Open,Enriched,Intact,1.1173184357541899,0,0,18.994413407821227,15.083798882681565,0,0.5586592178770949,2.2346368715083798,1.675977653631285,1.1173184357541899,31.28491620111732,0.5586592178770949,0,0,24.581005586592177,1.1173184357541899,0,0,0,1.1173184357541899,0,0,0,0,0,0,0,0.5586592178770949,0,0,0,0,0,0,0,0,15.083798882681565,39.10614525139665
12,A,3,A3,1X1,Enriched,Disturbed,4.639175257731959,0,0,7.731958762886598,8.24742268041237,0,8.762886597938143,18.556701030927837,1.5463917525773196,0.5154639175257731,5.670103092783505,1.0309278350515463,3.608247422680412,0,17.525773195876287,1.0309278350515463,0.5154639175257731,0,1.0309278350515463,0,0,0,0,0,0,19.072164948453608,0,0.5154639175257731,0,0,0,0,0,0,0,0,27.31958762886598,33.50515463917526
12,A,3,A3,2X2,Enriched,Disturbed,4.5,0.5,0,11.5,16.5,0,10,16,0.5,2,4.5,1.5,5,0,12,0,0,0.5,8.5,0,4,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,19,29
